name,category,price,taste,spicy,calorie_kcal,calorie_level,satiety,scene,temperature,ingredients,avoid_tags,rating,tags
番茄鸡蛋面,面食,18,清淡 酸甜,0,480,中,4,单人 晚餐 治愈,热,番茄 鸡蛋 面条,无,4.6,热食 清淡 不辣 汤面 预算
皮蛋瘦肉粥,粥类,15,清淡 咸鲜,0,320,低,3,早餐 夜宵 治愈,热,大米 皮蛋 猪肉,无,4.5,清淡 不辣 易消化 热食 低油
菌菇汤面,面食,22,清淡 鲜香,0,430,中,4,单人 晚餐 治愈,热,菌菇 青菜 面条,无,4.4,清淡 热食 不辣 汤面 素食可选
鸡胸肉蔬菜饭,轻食,28,清淡 咸香,0,520,中,5,减脂 高蛋白 单人,热,鸡胸肉 西兰花 米饭,无,4.7,高蛋白 低脂 饱腹 减脂
虾仁鸡蛋沙拉,轻食,32,清淡 鲜香,0,360,低,3,减脂 午餐,冷,虾仁 鸡蛋 生菜,海鲜,4.4,低卡 高蛋白 清淡 冷食
番茄牛肉汤,汤类,30,酸甜 鲜香,0,410,中,4,减脂 治愈 晚餐,热,番茄 牛肉,牛肉,4.6,热食 高蛋白 不辣 汤
牛肉粉丝汤,粉面,24,咸鲜,0,510,中,4,夜宵 晚餐 饱腹,热,牛肉 粉丝 青菜,牛肉,4.5,热食 饱腹 不辣
关东煮,小吃,20,清淡 咸鲜,0,390,中,3,夜宵 快速,热,萝卜 鱼丸 豆腐,海鲜,4.3,热食 夜宵 预算 清淡
红豆双皮奶,甜品,16,甜,0,280,低,2,甜食 治愈 下午茶,冷,红豆 牛奶,乳制品,4.8,甜品 治愈 不辣
芋泥麻薯,甜品,18,甜,0,420,中,3,甜食 治愈 下午茶,冷,芋泥 糯米,无,4.7,甜品 治愈 饱腹
热可可,饮品,14,甜,0,220,低,1,甜食 治愈,热,牛奶 可可,乳制品,4.5,热饮 甜品 治愈
蛋挞,甜品,12,甜 香,0,260,低,2,甜食 下午茶,热,鸡蛋 牛奶 面皮,乳制品,4.4,甜品 热食 预算
银耳莲子羹,甜品,18,清甜,0,210,低,2,夜宵 治愈 甜食,热,银耳 莲子,无,4.6,甜品 热食 清淡
土豆炖鸡,家常菜,28,咸香,0,620,中,5,多人 聚餐 饱腹,热,土豆 鸡肉,无,4.5,家常 肉类 饱腹 不辣
番茄牛腩,家常菜,35,酸甜 咸鲜,0,650,中,5,多人 聚餐 晚餐,热,番茄 牛腩,牛肉,4.7,热食 肉类 不辣 聚餐
白切鸡,粤菜,38,清淡 咸鲜,0,540,中,4,多人 聚餐 高蛋白,冷,鸡肉,无,4.5,清淡 肉类 不辣 高蛋白
清蒸鱼,家常菜,42,清淡 鲜香,0,500,中,4,多人 聚餐 健康,热,鱼,海鲜,4.6,清淡 高蛋白 不辣
