text,intent
我今天想吃清淡一点,清淡餐
想吃不油腻的东西,清淡餐
有没有淡一点的晚饭,清淡餐
不要太重口的菜,清淡餐
想吃少油少盐的,清淡餐
我在减脂想吃低热量,减脂餐
减肥期间吃什么比较好,减脂餐
想吃低卡一点但能饱,减脂餐
控制体重想吃健康点,减脂餐
有没有高蛋白低脂的菜,减脂餐
晚上饿了想吃夜宵,夜宵
半夜想吃点热乎的,夜宵
想找便宜的夜宵,夜宵
晚上想吃不太贵的东西,夜宵
睡前有点饿推荐一下,夜宵
我想吃高蛋白的,高蛋白餐
健身后想补充蛋白质,高蛋白餐
想吃鸡胸肉或者牛肉,高蛋白餐
有没有适合健身的菜,高蛋白餐
想吃肉但别太油,高蛋白餐
预算三十以内吃什么,预算餐
不超过二十五块推荐一下,预算餐
想吃便宜一点的,预算餐
今天没多少钱吃啥,预算餐
人均五十以内,预算餐
今天心情不好想吃点治愈的,治愈餐
有点累想吃舒服点,治愈餐
压力大想吃甜的,治愈餐
想吃让人开心的东西,治愈餐
今天很疲惫想吃热乎的,治愈餐
我不吃辣,不辣餐
不要辣椒,不辣餐
不能吃辣推荐什么,不辣餐
想吃完全不辣的,不辣餐
别给我推荐麻辣的,不辣餐
我想吃辣的,重口辣味餐
今天想吃麻辣的,重口辣味餐
想吃香辣一点的,重口辣味餐
推荐重口味的菜,重口辣味餐
有没有辣一点的,重口辣味餐
我们三个人吃饭,多人聚餐菜品
我和朋友一起吃,多人聚餐菜品
多人聚餐推荐什么菜,多人聚餐菜品
三个人人均五十以内,多人聚餐菜品
一个人不吃辣一个人想吃肉,多人聚餐菜品
想吃能吃饱的,快速饱腹餐
饿了想吃顶饿一点,快速饱腹餐
下午很饿需要饱腹感,快速饱腹餐
想快速吃饱,快速饱腹餐
推荐管饱的菜,快速饱腹餐
想吃甜品,甜食饮品推荐
想喝点甜的,甜食饮品推荐
推荐奶茶或者蛋糕,甜食饮品推荐
想吃甜甜的东西,甜食饮品推荐
有没有热饮甜品,甜食饮品推荐
